link	title	description	expiration_date	price	image_link	label	id	condition
http://www.safensound.co.uk/alpinealpinecda9887rcdreceiverusbipodcontroller-p-275.html	Alpine CDA-9887R CD-Receiver / USB & iPod Controller	 <b>Free UK Mainland Delivery</b>   Get inside your favourite artist’s head and hear music exactly as it was meant to be heard with accuracy and response never before available in the car. This full-featured Head Unit with MultEQ technology measures your car’s acoustics and precisely processes the sound accordingly, to let you hear music with all its power and clarity – just as the artist intended.   The receiver produces the best possible sound from your CDs, thanks to its premium Burr-Brown 24-bit digital-to-analog converter. You can compensate for poor speaker placement and create the perfect sweet spot in your car by using the 6-channel digital time correction feature. Then you can adjust the sonic details with an equalizer that can be switched from a regular 7-band EQ to a 5-band parametric EQ.   With an optional cable the CDA-9887R will not only play your iPods tracks, it will operate the iPod through its controls. The high speed connection and Alpine's unique Percentage Search feature lets you jump through your playlist quickly, so you can easily find the song you want.  Features   Features    Audyssey MultEQ XT  Full Speed Connection for iPod  CD Text Display and Scroll  CD-R / CD-RW Compatible  MP3/WMA/AAC File Playback  ID3 Tag Information Display  iTunes AAC File Playback (w/o.DRM)  24-Bit DAC  Zero Data Mute (0 bit Mute)  MP3 / CD Changer Control   Connectivity    Steering Wheel Remote Control Ready  Vehicle Display Interface Ready  Versatile Link Ready  Bluetooth Ready  AUX-In Ready   Power Specification    4 x 60W High Power Amplifier  3 Pre Outs  4V Pre Out   Display    Biolite Display  Quad Illumination (Blue/Green/Red/Amber for the 4 glassy knobs)  Dual Illumination (for other buttons in Red/Green)   Audio Processing    Audyssey MultEQ XT or Bass Engine Pro  3-way or 2-way Channel Divider  6ch Adjustable Time Correction  7-Band G.EQ or 5-Band P.EQ choose  Factory Preset EQ (Rock, Pops, News)  Media Xpander (MX)   Other Highlights    MaxTune Tuner  Rectractable Rotary Encoder Volume Control  Remote Control Included  BlackOut function  i-Personalize  ISO Connector Ready  Detachable Face Plate   iPod Compatibility    Full control and charging for:   iPod 5G  iPod photo  iPod mini  iPod nano 1G - 3G  iPod classic  iPod touch 1G  iPhone   Full control (but no charging):   iPod nano 4G  iPod touch 2G  3G iPhone   Support   Instruction Manual   More Images   	2010-01-05	399.99	http://www.safensound.co.uk/catalog/images/CDA-9887R.jpg	Headunits, CD/iPhone/iPod control	275 	 new 
http://www.safensound.co.uk/alpinealpinecda105ricdreceiverusbandipodcontrol-p-293.html	Alpine CDA-105Ri - CD Receiver / USB and iPod Control	 <b>Free UK Mainland Delivery</b>   The multi-function Alpine CDA-105Ri allows you to enjoy all different types of music in your car from; radio to CD’s, USB and iPod, including Apple’s new iPhone.   The CDA-105Ri is designed to offer full control over all music stored on iPhones and iPods, from 4th generation models onwards. The head unit offers a similar function to the iPod itself when searching for music and these include album, artist, song, play list, genre, audio book and composer giving great control over all your songs.   For the ultimate listening experience in your car, the CDA-105Ri can be plugged straight into Alpine’s optional PXA-H100 for full IMPRINT sound optimisation and Bass Engine Pro sound tuning. With IMPRINT, specifically designed software is used with a microphone to analyse the car’s inherit acoustical problems and automatically tunes the system for optimal sound processing. This drastically improves the stage, tonal balance and definition of the music.   The illumination on the stereo’s facia, comes with the choice of four colours – blue, red, green and amber. In addition, the Alpine CDA105Ri allows you to connect an USB memory stick via a port on the rear of the head unit and the songs are automatically arranged in alphabetical order for ease of use. It is also Bluetooth Ready, when upgraded via the optional Alpine Bluetooth interface, offering you full hands free mobile phone access and wide phone compatibility.   Features   General    USB Connection – rear   Included USB cable and iPod cable   Ai-NET connection   Quick Search   Steering Wheel Remote Control ready   Vehicle Display Interface   Bluetooth ready   Remote control ready   CD changer control   Four illumination colours selectable (blue, red, green and amber)  Display    Two line LCD Dot Matrix Display   White pixels   Multi-language display  IPod   Full control & charging for:    iPod 5G  iPod nano 1G-4G  iPod classic  iPod touch 1G-2G  iPhone & 3G iPhone   Quick Search - Search music by:    Album  Artist  Song  Play list  Genre  Audio book  Composer  Outputs   Amp:    4 x 50W MAX   3 PreOuts (2v)   Power Antenna   Remote On Signal  Audio   Other:    MP3/WMA Playback   AAC Playback   Fairplay / MTP Ready   24-Bit DAC   IMPRINT Ready   HPF   Treble Centre Freq. Con.   Bass Centre Freq. Con.   Subwoofer Level Control   Support   Instruction Manual   More Images   	2010-01-05	249.00	http://www.safensound.co.uk/catalog/images/CDA-105RI.jpg	Headunits, CD/iPhone/iPod control	293 	 new 
http://www.safensound.co.uk/kenwoodkenwooddnx7240btdvdnavigationbluetooth-p-312.html	Kenwood DNX7240BT DVD, Navigation & Bluetooth	 <b>Free UK Mainland Delivery</b>   Enjoy the ultimate entertainment of Kenwood's 7" touch-screen all-in-one 2DIN navigation DNX7240BT. It features Full-map European Navigation, Audio, Video and radio tuner in a single body, to match all your needs. What's more, by using the optional KCA-iP301V cable you can control your iPod or iPhone on the head-unit via USB. Better yet it offers seamless fitting with the car interior and extreme ease of installation without a hide-away box.   The in-built Garmin navigation system guides you to your destination efficiently and accurately. And it can even keep you up to date on what's happening with traffic flow along your programmed route.   Garmin, long a leader in satellite navigation, provides the built-in road maps that feature impressive detail, 2-D and 3-D views, and extensive points of interest. The built-in trip computer gives you handy data about your average speed, distance traveled, and more.   The built-in Bluetooth hands-free feature enables easy, safe mobile phone communications from the car. With the head-unit and mobile phone you can enjoy easy communication by simply talking into the provided microphone and listening to the other party through the vehicle's speakers.   TOUCH SCREEN CONTROL    By simply touching the large, logical on-screen icons gives easy, positive system control. Thanks to its intuitive operation, touch screen control is superior to any other command interface.   MAP DATA COVERAGE    Kenwood navigation systems store detailed road data for virtually all of Europe with Garmin V.11 Map data. The 34 countries covered include;    Full Coverage:   Great Britain, Ireland, Northern Ireland, Andorra, Austria, Belgium, Denmark, France, Finland, Germany, Italy, Lichtenstein, Luxembourg, Netherlands, Norway, Poland, Portugal (Continental only), Spain, Sweden, Switzerland.   Partial Coverage:   Albania: Major Roads Only   Bulgaria: Detailed coverage of capital city of Sofija   Croatia: Detailed coverage of Zagreb, Rijeka and Pula, Split, Selin, Zadar, Dubrovnik and the Island of Krk   Czech Republic: Bradlec, Brno, Dalovice, Josefuv Dul, Karlovy Vary, Kosmonosy, Mlada Boleslav, Ostrava, Prague, Praha, Plzen and Repov   Estonia: Detailed coverage of Talinne   Greece: Athens   Hungary: Detailed coverage of the Greater Budapest area, the Balaton area, Debrecen, Miskolc, Eger and Tokaj   Latavia: Detailed coverage of the capital city or Riga   Lithuania: Detailed coverage of capital city of Vilnius   Macedonia: Major Roads Only   Moldova: Major Roads Only   Romania: Detailed coverage of Bucuresti (Bucharest) and Timisoara   Serbia & Montenegro: Major Roads Only   Slovakia: Detailed coverage of Bratislavia and Kosice   Slovenia: Detailed coverage of Ljubljana and Maribor   Ukraine: Major Roads Only    Now, you can travel anywhere in Europe!   DNX SERIES ARE COMPACT, HIGH-POWER HARDWARE    Maps covering the whole of Europe and the navigation application software are pre-installed in flash memory to achieve extremely compact size. A high-performance CPU drives the whole system based on position data from the SIRF3, high sensitivity GPS receiver.   TTS (TEXT TO SPEECH) FUNCTION    TTS function reads out not only directions, but also the street names during voice guidance when making a turn. This function is compatible with 9 languages including English, Dutch, French, German, Italian, Norwegian, Portuguese, Spanish and Swedish.    DESTINATION SEARCH    Just press the “Where To?” key to begin searching for your destination. The six search modes available are:   (1) Address (including Postcode search),  (2) Go Home (customised to your home address),  (3) Favourites (your favourite stored locations), (4) Points of Interest POI's (food, hotels, ATM's etc), (5) Recently Found (up to 50 previously searched locations), (6) Intersection (set the destination at junction of 2 major roads).   PICTURE IN PICTURE    Kenwood's "Picture in Picture" solution puts both Navigation and DVD on the navigation screen, or allows users to see the view from the rear-view camera (Optional extra CCD2000 camera) while the navigation screen is shown.   PRIMARY/SECONDARY DISPLAY    Enabling display of both Navigation information and Audio information on a single screen, Kenwood expands system versatility. Moreover, this secondary window doubles as a short cut key, for rapid switching between Navigation and AV.   STREET NAME FINDER    When you touch a location, the street name pops up. You can easily find the street   360° ROTATING VIEW    In 3D mode and you press the rotation button, the map starts to rotate. You will find this function handy when you want to change your direction, or to know what's around your recent position.   TMC (TRAFFIC MESSAGE CHANNEL)    Built-in TMC tuner offers real-time traffic information on the GPS map display. What's more, the system can also calculate a route to avoid congestion according to the traffic information received.    POI's (Points of Interest)   Over 2 millon POI's are installed as standard in the navigation. These cover; ATM's/Banks, Food/Resturants, Superstores, Sports Venues, Hotels, Petrol Station, Motorway Services and much more.   Customise POI's can be added at your descretion including Safety Camera Database from various website Companies.  Features   Features:    6,95" wide touch screen monitor   DVD-video/MPEG1/2,JPEG,Divx/MP3/WMA/AAC/WAV playback   Built-in Garmin navigation system with TMC tuner (MAP data: V.11)   Built-in Bluetooth with handsfree/SMS/audio profile   Selectable GUI and hardkey illumination   Multi-language text   iPod direct with optional KCA-iP301V, works with iPhone   3 preouts/ 1AV-in/1 AV-out/Rearview camera input   Navigation display with Picture in picture function   IR remote control included   DIN Size 2 DIN   Detachable Faceplate No   Disabled System Indicator (DSI)   Security Code Function , Set by user   On Screen Display (OSD) Operation   Smooth GUI   Selectable GUI Background Wallpaper   Installer Memory   Back-up Memory   Attenuator with Smooth Volume Return   Touch Sensor Tone   IR Remote Sensor   IR Remote Control , included (RC-DV330)   Digital Clock (24H)   All-off Select (20/40/60 minutes)   ISO connector   Bluetooth unit built-in   Navigation unit built-in   Made for iPod     Navigation Features:    Touch-screen controllable   IR Remote controllable   Easy-to-use Graphical Interface   Built-in Map Data V.11   Map Upgrade via DVD/CD-ROM   3-Dimensional Map Display   2-Dimensional Map Display   Auto Zoom Function   Turn-by-Turn Instructions   Automatic Re-Route   Day/Night Colour mode , AUTO/Manual   Route colour & Text size settings   Detour Re-Routing   Route Preference Function   GPS Information Display   Voice Guidance Voice Guidance in 18 languages     Monitor:    LCD Type TFT 6.95" Wide   Display Mode 4 Mode (Full/Just/Zoom/Normal)   Screen Adjustments Brightness/Tint/Colour/Contrast/Black Level/Dimmer   Auto Dimmer manual/navi sync   Visual Source Mode DVD/Video/Navigation/(TV)/USB/iPod   Touch Panel   Mechanism Angle Adjustment 5 Steps + Flat + Reverse Tilt   Reverse Tilt   NTSC/PAL judge Auto    Audio:    Max. Output Power (MOSFET Power IC) 4 x 50W   Pre-out 3RCA: Front/Rear/Subwoofer   RCA Gold Plated   Pre-out Output Level 2V   Auxiliary Input RCA   Subwoofer Reference Level Adj.   Dual Zone Source & Volume Control   Dual Zone (FRONT / REAR Switchable)   Source Tone Control & Memory no   Balance/Fader Control   Att.(-20dB) with smooth Volume Return   Video:  Audio/Video Output 1 RCA   Audio/Video Input , 1 RCA   Video-In for Rear-view Camera 1 dedicated video input (RCA)   Mirror-mode on Rear-view Image   Detection Mode Rear View Camera Reverse sensor wire   DVD Menu Direct Touch Operation     Bluetooth Handsfree:    Call   Receive   Disconnect   Automatic receive time setting   Voice output SP setting   Call interrupt   Microphone type external   Adjustable microphone gain    Support   Instruction Manual   Bluetooth Software Update Instructions   Navigation Software Update  More Images   	2010-01-05	935.00	http://www.safensound.co.uk/catalog/images/DNX-7240BT.jpg	Headunits, CD/iPhone/iPod control	312 	 new 
http://www.safensound.co.uk/jvcjvckdavx40cdmp3wmadvdbluetooth-p-323.html	JVC KD-AVX40 CD / MP3 / WMA / DVD & Bluetooth	 <b>Free UK Mainland Delivery</b>   JVC KD-AVX40 - a single-din car stereo with a 3.5 inch wide monitor. This JVC KD-AVX40 car stereo also features a built-in electrostatic proximity sensor, which illuminates the screen when the user approaches it with their hand.    KD-AVX40 also has a built-in Bluetooth for handsfree calling and audio streaming from any compatible phone.   JVC KD-AVX40 is full of connectivity. As well as the usual CD changer control. The KD-AVX40 also features full speed iPod / iPhone control via the built-in USB port.    Features   MOSFET 50w x 4   3.5 inch ultra widescreen   Touchpad technology   Electrostatic proximity sensor   2.5V Line output / 2.5V Subwoofer output level       Gold-plated AV input terminals     Gold-plated preout terminals (line x 1 pair + subwoofer + composite video)   CD / DVD / MP3 / WMA / WAV / AAC playback      GIGA MP3 supported   USB port   Full speed iPod control   Built-in bluetooth for handsfree calling and audio streaming   Dolby Digital decoder   CD changer control   Steering wheel remote ready (optional adapter require)     Made for iPod          Works with iPhone  Support   More Images   	2010-01-05	369.99	http://www.safensound.co.uk/catalog/images/KD-AVX40.jpg	Headunits, CD/iPhone/iPod control	323 	 new 
http://www.safensound.co.uk/parrotparrotmki9100bluetoothhandsfreekit-p-327.html	Parrot MKi9100 Bluetooth Handsfree Kit	 <b>Free UK Mainland Delivery</b>   The Parrot MK9100 Bluetooth Hands Free Car Kit combines the latest communication technologies with a full set of services dedicated to music. Once paired with your Bluetooth mobile phone, the Parrot MK9100 enables you to establish in a few seconds any phone conversations in your vehicle without needing to handle the telephone, even leaving it in your pocket. Connection with your mobile is made in a completely transparent way.   The user-independent voice recognition and voice synthesis is integrated in the Parrot MK9100 car kit, which dramatically eases the way of using it in every situation. And all the connectors for any type of music are provided with the Parrot MKi9100 Hands-free Kit: iPod, iPhone, iTouch, USB keys, USB MP3 players, Bluetooth Stereo devices, CD players, MiniDisc  Features   Audio:   External double microphone, direction is adjustable   Full Duplex   DSP-3: Echo cancellation, advanced noise reduction   Dispatch voice and music on car’s speakers   Music:   Multiple connectors: iPods (from fifth generation)   USB and Line-In   Play music from any Bluetooth Stereo (A2DP) compatibles devices   Digital Class-D 20W amplifier   Phonebook:   Automatic phonebook synchronisation   User-independent voice recognition   Text To Speech: vocal synthesis of the phonebook   Number of contacts: up to 8,000 in total; up to 1,500 per paired phone  Displayed Information:   Phone status   Phonebook   Menus &amp; Settingas   Small playlist   Support   Instruction Manual  More Images   	2010-01-05	149.99	http://www.safensound.co.uk/catalog/images/MKI9100.jpg	Bluetooth Solutions, Car Kits	327 	 new 
http://www.safensound.co.uk/parrotparrotck3200bluetoothhandsfreekit-p-328.html	Parrot CK3200 Bluetooth Handsfree Kit	 <b>Free UK Mainland Delivery</b>   Parrot, the world's first company to produce Bluetooth car kits, has launched the CK3200 Car Kit for drivers who want wireless hands-free phone function with easy-to-read LCD display. The dash-mounted color LCD screen displays information including Caller ID for both incoming and outgoing calls, adding Photo ID when photos are programmed into the address portion of either your car kit or phone. Photos can be used as wallpaper. The CK3200 also allows you to browse your phone's address book and provides a visual menu that's easy to see at a glance. Personalized mobile phone features, including ringtones, transfer to the car kit.   Like all of Parrot's installed Bluetooth car kits, the CK 3200 automatically mutes the vehicle's radio or CD player and uses the speakers for phone audio. Voice recognition and voice activation features allow drivers to make calls, take calls, and access a 150-name address book without taking their hands off the wheel.    Parrot's CK3200 is compatible with the vast majority of Bluetooth-enabled phones regardless of carrier or manufacturer. With Parrot products, the car kit is automatically ready to go whenever your vehicle is turned on. Simply start the engine, drive and talk hands-free.    Features   Information:   Automatically Mutes the Radio   Uses Your Car Speakers   Easy to Install and Use   Advanced Features:   LCD color screen   TFT 160 x 128 pixels with 262,144 colors   Adjustable brightness   Customizable color interface with wallpapers   Caller photo display   Display of the last numbers dialed, missed calls and calls received   Color themes for choosing the graphical interface   Up to five mobile phones registered   Address phonebook synchronization   Echo cancellation   Voice recognition up to 150 names   Hi-Fi polyphonic ringtones   Screen / Keypad 64 x 58 x 20 mm Weight: 62 g   Parrot universal radio mute unit (installed under the dashboard):   54 x 104 x 20 mm Weight: 52 g   Support   Instruction Manual  More Images   	2010-01-05	139.99	http://www.safensound.co.uk/catalog/images/CK3200.jpg	Bluetooth Solutions, Car Kits	328 	 new 
http://www.safensound.co.uk/parrotparrotmki9000bluetoothhandsfreekit-p-329.html	Parrot MKi9000 Bluetooth Handsfree Kit	 <b>Free UK Mainland Delivery</b>   The Parrot MK9000 is a Bluetooth screenless hands-free system that blends in seamlessly inside any vehicle. A wireless remote control can be positioned on the steering wheel or dashboard and allows the driver to control all the functions of the MK9000.   In addition to conventional telephony functions - pick up, hang up, dual calls - the Parrot MK9000 boasts cutting-edge telephony functions: automatic phonebook synchronisation, training-free multi-speaker voice recognition, speech synthesis of the names in the phonebook, contact management (up to 2 000 per phone). No need for a screen - the Parrot MK9000 offers a voice menu for accessing its functions.    The Parrot MK9000 is also gifted for music. Supplied with a specific cable, it is compatible with all music sources, such as iPods, iPhones, USB flash drives, Bluetooth stereo (A2DP) phones, MP3 players and any other analogue players.   Features   Audio:   External double microphone, direction is adjustable   Full Duplex   DSP-3: Echo cancellation, advanced noise reduction   Dispatch voice and music on car’s speakers   Music:   Multiple connectors: iPods (from fifth generation),USB and Line-In   Play music from any Bluetooth Stereo (A2DP) compatibles devices   Digital Class-D 20W amplifier  Phonebook:   Automatic phonebook synchronization   User-independent voice recognition   Text To Speech: vocal synthesis of the phonebook   Number of contacts: up to 8,000 in total; up to 1,500 per paired phone   Support   Instruction Manual  More Images   	2010-01-05	129.99	http://www.safensound.co.uk/catalog/images/MKI9000.jpg	Bluetooth Solutions, Car Kits	329 	 new 
http://www.safensound.co.uk/parrotparrotmki6100bluetoothhandsfreekit-p-330.html	Parrot MKi6100 Bluetooth Handsfree Kit	 <b>Free UK Mainland Delivery</b>   The Parrot MK6100 is a music playing hands-free car kit: play your favourite MP3 files on the car’s speakers from any Bluetooth Stereo (A2DP) source: mobile phone, MP3 player… Once paired, the music player connects automatically to the MK6100. Press PLAY on the kit’s remote control to start reading the MP3s and benefit from the digital amplifier which transforms your car into a true concert hall!    Positioned on the steering wheel or placed wherever is convenient, the RF remote control of Parrot MK6100 gives you the total control you need right at your fingertips! Simple and intuitive, its interface lets to you browse within your address book or start playing the music of your choice.    Access the list of your contacts in the kit’s phone book and let the MK6100 read them for you thanks to the function Text to Speech. Press one button to validate your choice, the kit initiates the call. And for often called phone numbers, directly pronounce the name of your correspondent and the built-in voice recognition composes the number for you.    Features   Screen:   OLED 128x32 pixels, hi contrast display   Optimal visibility in every position   Displays phone information   Displays names and phone numbers of callers   Detachable screen  Audio:   Full Duplex   Double built-in microphones on screen direction is adjustable via software   Advanced noise reduction: Parrot Beamforming   Echo cancellation   Dispatch voice and music on car’s speakers   Play music from any Bluetooth Stereo (A2DP) compatibles devices: mobile phones, smartphones, MP3 players…   Vocal synthesis of the phone book, Text To Speech: speaks the names in phone book   Voice recognition: 150 voice tags maximum   Digital Class-D 30W amplifier   General:   Up to five paired phones   Automatic phone book synchronization   Number of contacts: up to 8,000   RF remote control: 5 buttons + 1 rotator   Answer/make a call, reject/end/cancel   Language, volume, menus, options…   Play/pause, forward, backward   Compatible with all Bluetooth headsets   Support   Instruction Manual  More Images   	2010-01-05	129.99	http://www.safensound.co.uk/catalog/images/MKI6100.jpg	Bluetooth Solutions, Car Kits	330 	 new 
http://www.safensound.co.uk/parrotparrotck3100bluetoothhandsfreekit-p-331.html	Parrot CK3100 Bluetooth Handsfree Kit	 <b>Free UK Mainland Delivery</b>   The Parrot CK3100 LCD is the most renowned hands-free car kit on the market. With the Parrot CK3100 LCD, you will be able to place and receive calls in comfort and safety, without ever touching your mobile phone. The wireless connection between the Parrot CK3100 LCD and the Bluetooth phone and its voice recognition system is enabled as long as the phone   is turned on. At a time when legislation is tightening up to restrict the use of mobile phones in vehicles due to safety concerns, Parrot CK3100 LCD benefits are not just for the sake of convenience and comfort - they are fast becoming a real necessity.    When users get in their car, they start the engine and the kit immediately connects to their mobile phone. Thanks to the voice recognition feature of the Parrot hands free car kit, drivers say a name and the kit automatically dials the number.    The Parrot hands free kit displays your mobile phone's information on an LCD screen : incoming call number, phonebook, last number called, and so on. The ingenious screen can be installed wherever users want on the dashboard and provides an optimized viewing angle for greater comfort and readability.     Features   Key Information:   LCD screen displays standard mobile phone information.  Hands-free, unidirectionnal microphone provides voice recognition.   Browser button allows users to scroll through menus and control the volume.   Advanced Features:   Seamless hands-free use   Comfort and safety while driving   Superior user interface with LCD display   Can be installed in any vehicle   Automatically mutes the radio   Uses the car speakers   Audio volume control   Quality audio (Digital Signal Processing)   Up to fives devices can use the system   No cradle   No wire, no headset   No headset battery to charge   Voice recognition dialer   Software upgradeable   Support   Instruction Manual  More Images   	2010-01-05	109.99	http://www.safensound.co.uk/catalog/images/CK3100.jpg	Bluetooth Solutions, Car Kits	331 	 new 
http://www.safensound.co.uk/parrotparrotck3000bluetoothhandsfreekit-p-332.html	Parrot CK3000 Bluetooth Handsfree Kit	 <b>Free UK Mainland Delivery</b>   The Parrot CK3000 Evolution hands-free Car Kit offers the convenience of voice recognition and outstanding sound quality by   using your car's sound system as a receiver. There are no apparent wires. Once installed, just turn on the engine and you are immediately connected to your phone.    Even by leaving your mobile phone in your bag, with your Parrot EVOLUTION, You can dictate a name, whilst driving, and will immediately be connected to your correspondent. The car's speakers transmit the conversation with perfect quality of sound, regardless of the driving conditions.    Features   Features:   Works with all Bluetooth phones   Can be installed in any vehicle   Voice recognition dialer   Uses the car speakers   Discreet and elegant design   Voice menu   Languages available: English, German, French, Italian, Spanish, Dutch, Portuguese, Chinese, Russian, Czech   Multi-user, pairing up to three phones  Bluetooth   Functions:   Headset Profile   Handsfree 0.96 Profile   Handsfree 1.0 Profile   Phonebook Synchronization Profile with applicable phones   Object push            Support   Instruction Manual  	2010-01-05	89.99	http://www.safensound.co.uk/catalog/images/CK3000.jpg	Bluetooth Solutions, Car Kits	332 	 new 
