id	title	price	brand	mpn	product_type	link	image_link	condition	description
327	Parrot MKi9100 Bluetooth Handsfree Kit	124.99	Parrot	MKi9100	Bluetooth Solutions Car Kits	http://www.safensound.co.uk/parrotparrotmki9100bluetoothhandsfreekit-p-327.html?utm_campaign=google-simple&amp;utm_medium=product_search&amp;utm_source=google-simple	http://www.safensound.co.uk/catalog/images/MKI9100.jpg	new	Description The Parrot MK9100 Bluetooth Hands Free Car Kit combines the latest communication technologies with a full set of services dedicated to music. Once paired with your Bluetooth mobile phone, the Parrot MK9100 enables you to establish in a few seconds any phone conversations in your vehicle without needing to handle the telephone, even leaving it in your pocket. Connection with your mobile is made in a completely transparent way. The user-independent voice recognition and voice synthesis is integrated in the Parrot MK9100 car kit, which dramatically eases the way of using it in every situation. And all the connectors for any type of music are provided with the Parrot MKi9100 Hands-free Kit: iPod, iPhone, iTouch, USB keys, USB MP3 players, Bluetooth Stereo devices, CD players, MiniDisc     Features Audio:  External double microphone, direction is adjustable Full Duplex DSP-3: Echo cancellation, advanced noise reduction Dispatch voice and music on cars speakers  Music:  Multiple connectors: iPods (from fifth generation) USB and Line-In Play music from any Bluetooth Stereo (A2DP) compatibles devices Digital Class-D 20W amplifier  Phonebook:  Automatic phonebook synchronisation User-independent voice recognition Text To Speech: vocal synthesis of the phonebook Number of contacts: up to 8,000 in total; up to 1,500 per paired phone  Displayed Information:  Phone status Phonebook Menus &amp; Settingas Small playlist      Support Instruction Manual     More Images
329	Parrot MKi9000 Bluetooth Handsfree Kit	135.64	Parrot	MKi9000	Bluetooth Solutions Car Kits	http://www.safensound.co.uk/parrotparrotmki9000bluetoothhandsfreekit-p-329.html?utm_campaign=google-simple&amp;utm_medium=product_search&amp;utm_source=google-simple	http://www.safensound.co.uk/catalog/images/MKI9000.jpg	new	Description The Parrot MK9000 is a Bluetooth screenless hands-free system that blends in seamlessly inside any vehicle. A wireless remote control can be positioned on the steering wheel or dashboard and allows the driver to control all the functions of the MK9000. In addition to conventional telephony functions - pick up, hang up, dual calls - the Parrot MK9000 boasts cutting-edge telephony functions: automatic phonebook synchronisation, training-free multi-speaker voice recognition, speech synthesis of the names in the phonebook, contact management (up to 2 000 per phone). No need for a screen - the Parrot MK9000 offers a voice menu for accessing its functions. The Parrot MK9000 is also gifted for music. Supplied with a specific cable, it is compatible with all music sources, such as iPods, iPhones, USB flash drives, Bluetooth stereo (A2DP) phones, MP3 players and any other analogue players.     Features Audio:  External double microphone, direction is adjustable Full Duplex DSP-3: Echo cancellation, advanced noise reduction Dispatch voice and music on cars speakers  Music:  Multiple connectors: iPods (from fifth generation),USB and Line-In Play music from any Bluetooth Stereo (A2DP) compatibles devices Digital Class-D 20W amplifier  Phonebook:  Automatic phonebook synchronization User-independent voice recognition Text To Speech: vocal synthesis of the phonebook Number of contacts: up to 8,000 in total; up to 1,500 per paired phone      Support Instruction Manual     More Images
331	Parrot CK3100 Bluetooth Handsfree Kit	125.21	Parrot	CK3100	Bluetooth Solutions Car Kits	http://www.safensound.co.uk/parrotparrotck3100bluetoothhandsfreekit-p-331.html?utm_campaign=google-simple&amp;utm_medium=product_search&amp;utm_source=google-simple	http://www.safensound.co.uk/catalog/images/CK3100.jpg	new	Description The Parrot CK3100 LCD is the most renowned hands-free car kit on the market. With the Parrot CK3100 LCD, you will be able to place and receive calls in comfort and safety, without ever touching your mobile phone. The wireless connection between the Parrot CK3100 LCD and the Bluetooth phone and its voice recognition system is enabled as long as the phone   is turned on. At a time when legislation is tightening up to restrict the use of mobile phones in vehicles due to safety concerns, Parrot CK3100 LCD benefits are not just for the sake of convenience and comfort - they are fast becoming a real necessity. When users get in their car, they start the engine and the kit immediately connects to their mobile phone. Thanks to the voice recognition feature of the Parrot hands free car kit, drivers say a name and the kit automatically dials the number. The Parrot hands free kit displays your mobile phone's information on an LCD screen : incoming call number, phonebook, last number called, and so on. The ingenious screen can be installed wherever users want on the dashboard and provides an optimized viewing angle for greater comfort and readability.     Features Key Information:  LCD screen displays standard mobile phone information. Hands-free, unidirectionnal microphone provides voice recognition. Browser button allows users to scroll through menus and control the volume.  Advanced Features:  Seamless hands-free use Comfort and safety while driving Superior user interface with LCD display Can be installed in any vehicle Automatically mutes the radio Uses the car speakers Audio volume control Quality audio (Digital Signal Processing) Up to fives devices can use the system No cradle No wire, no headset No headset battery to charge Voice recognition dialer Software upgradeable      Support Instruction Manual     More Images
332	Parrot CK3000 Bluetooth Handsfree Kit	104.34	Parrot	CK3000	Bluetooth Solutions Car Kits	http://www.safensound.co.uk/parrotparrotck3000bluetoothhandsfreekit-p-332.html?utm_campaign=google-simple&amp;utm_medium=product_search&amp;utm_source=google-simple	http://www.safensound.co.uk/catalog/images/CK3000.jpg	new	Description The Parrot CK3000 Evolution hands-free Car Kit offers the convenience of voice recognition and outstanding sound quality by   using your car's sound system as a receiver. There are no apparent wires. Once installed, just turn on the engine and you are immediately connected to your phone. Even by leaving your mobile phone in your bag, with your Parrot EVOLUTION, You can dictate a name, whilst driving, and will immediately be connected to your correspondent. The car's speakers transmit the conversation with perfect quality of sound, regardless of the driving conditions.     Features Features:  Works with all Bluetooth&reg; phones Can be installed in any vehicle Voice recognition dialer Uses the car speakers Discreet and elegant design Voice menu Languages available: English, German, French, Italian, Spanish, Dutch, Portuguese, Chinese, Russian, Czech Multi-user, pairing up to three phones  Bluetooth   Functions:  Headset Profile Handsfree 0.96 Profile Handsfree 1.0 Profile Phonebook Synchronization Profile with applicable phones Object push      Support Instruction Manual
333	Kenwood KAC-X1D Mono Digital Power Amplifier	229.99	Kenwood	KAC-X1D	Amplifiers Mono Amplifiers	http://www.safensound.co.uk/kenwoodkenwoodkacx1dmonodigitalpoweramplifier-p-333.html?utm_campaign=google-simple&amp;utm_medium=product_search&amp;utm_source=google-simple	http://www.safensound.co.uk/catalog/images/KAC-X1D.jpg	new	Description You can add a dose of potent power to your system, thanks to the special design of the Kenwood KAC-X1D amplifier. Its dual power supplies and efficient Class D design let this amp deliver massive amounts of power to your subwoofer from a compact chassis that'll fit in more places than traditional amps can. The built-in low-pass filter lets you tailor the amp's output so you can dial in just the right bass for your vehicle, while optimizing the subwoofer's performance. A built-in infrasonic filter keeps your sub from wasting energy trying to play frequencies that you can't hear. Kenwood's Dual Sigma Drive extends the amp's control over cone movement for tighter, punchier bass. And the onboard fan and dual vents help keep this amp cool as it pumps out impressive power. If you're looking to build a larger system, preamp outputs give you the chance to add more amps without having to run another set of cables to the back of your stereo. For easy control, the included wired remote allows you to adjust the bass boost from the front seat.     Features Kenwood KAC-X1D Specifications :  1600W maximum output power Built-in variable low-pass filter Built-in variable infrasonic filter Bass Boost control by remote 2 ohms load capability Dual Sigma Drive Dual power supply Power MOS-FET switching power supply Wired remote included  Amplifier Features  Class D Amplifier Full Range Digital Amplifier Load Capability 2O Stable Maximum Output Power 1600W Rated Power Output 600W x 1 (4O) Rated Power Output 700W x 1 (2O) CEA-2006 Compliant Low-pass Filter Bass Boost Circuit, by wired remote control Infrasonic filter Dual Sigma Drive Dual Power Supply Cooling Fan Power Indicator Multifunctional Blue Illumination Protection function Line in 1 RCA (Gold Plated) Line out 1 RCA (Gold Plated) Single Side Terminals Full Contact Terminal Gold Plated Power &amp; Speaker Terminals Chassis Aluminum Die-cast Removable Coverplate  Amplifier-Specifications  Maximum Power Output (4) 1600W x 1 Rated Power Output (4O, 14,4V) 600W x 1 Rated Power Output (2O, 14,4V) 700W x 1 Low-pass Filter 50~200Hz (24dB/oct) Bass Boost Circuit 0~18dB (Variable) Bass Boost Frequency 40Hz ~ 100Hz (Variable) Infrasonic filter 15~40Hz (24dB/oct) Input Sensitivity 0.2 ~ 5V Input Impedance 10k? Signal to Noise Ratio 105dB Frequency response (+0dB, -3dB) 20Hz ~ 200Hz Operating voltage 14.4V (11V - 16V allowable) Maximum current consumption 60A Dimensions (WxHxD) 235 x 52 x 192(mm), Weight 2.9kg      Support Instruction Manual     More Images
339	Alpine CDE-W203Ri 2 DIN CD-Receiver / USB &amp; iPod Controller	204.24	Alpine	CDE-W203Ri	Headunits Double Din	http://www.safensound.co.uk/alpinealpinecdew203ri2dincdreceiverusbipodcontroller-p-339.html?utm_campaign=google-simple&amp;utm_medium=product_search&amp;utm_source=google-simple	http://www.safensound.co.uk/catalog/images/CDE-W203RI.jpg	new	Description The perfect solution for those who want to upgrade their factory system and get top-quality Alpine sound and control in a 2-DIN space. The multi-function Alpine CDE-W203Ri allows you to enjoy all different types of music in your car from radio to CDs, USB and iPod, including Apples new iPhone. The CDE-W203Ri is designed to offer full control over all music stored on iPhones and iPods, from 4th generation models onwards. The head unit offers a similar function to the iPod itself when searching for music and these include album, artist, song, play list, genre, audio book and composer giving great control over all your songs. The receiver also features a front 3.5mm AUX input for ultimate flexibility and has a rotary volume knob making it easy to adjust the volume and tune the stereo's sound with the audio controls. A set of preamp outputs eases the job of adding an external amplifier to your system.      Features Features Full Speed iPod Connection MP3/AAC/WMA Playback Front USB Input Front AUX Input (3.5mm mini jack) White LCD (14 Segment) Display Rotary Encoder Knob Illumination Buttons: Blue Illumination Audio 4 x 50 W High Power Amplifier Subwoofer Level Adjustment High Pass Filter Adjustment Bass Level Adjustment 1 PreOut Bass &amp; Treble Controls Fader &amp; Balance Controls Loudness Feature Connectivity Parrot Bluetooth&reg; Ready (KCE-400BT Required) Full Speed iPod Connection (KCE-433iV Cable Included) Compatibility for iPod&reg;: iPod&reg; 5th generation, iPod&reg; nano 1st/2nd/3rd/4th generation, iPod&reg; classic, iPod&reg; touch 1st/2nd generation Works with iPhone USB Connection: Front Panel Input (MP3 / WMA / AAC Files) Front AUX Input (3.5mm mini jack) CD Player CD/CD-R/CD-RW Disc Playback MP3/AAC/WMA Playback 1Bit DAC 0 Bit Mute Music Sensor Scan/Repeat Playback Control: Play/Pause/Forward/Backward Easy Navigating: Quick Search     Support Instruction Manual       More Images
350	Audi ISO T-Harness Connects2 CT10AU01	17.72	Connects2	CT10AU01	Car Install Wizard Audi A4/S4 (B7) 2004>	http://www.safensound.co.uk/connects2audiisotharnessconnects2ct10au01-p-350.html?utm_campaign=google-simple&amp;utm_medium=product_search&amp;utm_source=google-simple	http://www.safensound.co.uk/catalog/images/CT10AU01.jpg	new	Description SOT (Sound on Top) lead to allow connection of a hands free kit with standard ISO wiring, such as a Parrot kit without damaging the radio's original wiring. The lead allows audio muting and hands free phone calls to be heard through your vehicle's front speakers and also provides power to the hands free kit. Please Note: Although every effort is made to provide as much information as possible some vehicles will be caught in changeover years and may use a different type of lead. If you find that the lead we have sent is the wrong type due to changeover years we will send you the other type free of charge as soon as we receive the original back. If you have any questions please call our customer serveice on 020 8288 0181 or use our email  contact  page.     Features Suitable For:  Audi A2 2005 &gt; Audi A3 (8L) 2005 &gt; Audi A4 2005 &gt; Audi A6 2005 &gt; Audi A8 2005 &gt; Audi TT 2005 &gt;  Fitted With:  40-Pin Fakra Connector For use in vehicles without a factory installed amplifier      Support      More Images
352	BMW ISO T-Harness Connects2 CT10BM01	17.72	Connects2	CT10BM01	Car Install Wizard BMW Mini Cooper S 01>	http://www.safensound.co.uk/connects2bmwisotharnessconnects2ct10bm01-p-352.html?utm_campaign=google-simple&amp;utm_medium=product_search&amp;utm_source=google-simple	http://www.safensound.co.uk/catalog/images/CT10BM01.jpg	new	Description SOT (Sound on Top) lead to allow connection of a hands free kit with standard ISO wiring, such as a Parrot kit without damaging the radio's original wiring. The lead allows audio muting and hands free phone calls to be heard through your vehicle's front speakers and also provides power to the hands free kit. Please Note: Although every effort is made to provide as much information as possible some vehicles will be caught in changeover years and may use a different type of lead. If you find that the lead we have sent is the wrong type due to changeover years we will send you the other type free of charge as soon as we receive the original back. If you have any questions please call our customer serveice on 020 8288 0181 or use our email  contact  page.     Features Suitable For:  BMW 3 Series E36/46 1990-2001 BMW 5 Series E39 1996-2002 BMW 7 Series &lt;2000 BMW Mini 2000-2001 BMW Z8 2000-2002  Fitted With:  Blaupunkt / Becker / Philips 17-Pin Round Connector  For use in vehicles without a factory installed amplifier      Support     More Images
353	BMW ISO T-Harness Connects2 CT10BM02	17.72	Connects2	CT10BM02	Car Install Wizard BMW Mini Cooper S 01>	http://www.safensound.co.uk/connects2bmwisotharnessconnects2ct10bm02-p-353.html?utm_campaign=google-simple&amp;utm_medium=product_search&amp;utm_source=google-simple	http://www.safensound.co.uk/catalog/images/CT10BM02.jpg	new	Description SOT (Sound on Top) lead to allow connection of a hands free kit with standard ISO wiring, such as a Parrot kit without damaging the radio's original wiring. The lead allows audio muting and hands free phone calls to be heard through your vehicle's front speakers and also provides power to the hands free kit. Please Note: Although every effort is made to provide as much information as possible some vehicles will be caught in changeover years and may use a different type of lead. If you find that the lead we have sent is the wrong type due to changeover years we will send you the other type free of charge as soon as we receive the original back. If you have any questions please call our customer serveice on 020 8288 0181 or use our email  contact  page.     Features Suitable For:  BMW 3 Series E46 2001-2005 BMW 5 Series E39 2001-2003 BMW X5 E53 2001&gt; BMW Mini 2001&gt; BMW X3 2004&gt; BMW Z4 2003&gt; BMW Z8 2000-2002  Fitted With:  40-Pin Fakra Connector For use in vehicles without a factory installed amplifier      Support     More Images
354	BMW ISO T-Harness Connects2 CT10BM03	17.72	Connects2	CT10BM03	Car Install Wizard BMW 1 Series (E87,E88) 2004>	http://www.safensound.co.uk/connects2bmwisotharnessconnects2ct10bm03-p-354.html?utm_campaign=google-simple&amp;utm_medium=product_search&amp;utm_source=google-simple	http://www.safensound.co.uk/catalog/images/CT10BM03.jpg	new	Description SOT (Sound on Top) lead to allow connection of a hands free kit with standard ISO wiring, such as a Parrot kit without damaging the radio's original wiring. The lead allows audio muting and hands free phone calls to be heard through your vehicle's front speakers and also provides power to the hands free kit. Please Note: Although every effort is made to provide as much information as possible some vehicles will be caught in changeover years and may use a different type of lead. If you find that the lead we have sent is the wrong type due to changeover years we will send you the other type free of charge as soon as we receive the original back. If you have any questions please call our customer serveice on 020 8288 0181 or use our email  contact  page.     Features Suitable For:  BMW 1 Series E81 2005&gt; BMW 3 Series E90 2005&gt; BMW 5 Series E60/61 2005&gt; BMW 6 Series E63 2005&gt; BMW 7 Series E65/66 2005&gt; BMW X5 E70 2007&gt;  Fitted With:  40-Pin Fakra Connector Without Ignition Wire For use in vehicles without a factory installed amplifier      Support     More Images
